time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,precipAccumulation,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure
2014-02-21T06:00:00Z,Windy in the morning.,wind,2014-02-21T12:47:48Z,2014-02-21T23:37:33Z,0.72,0,0,NA,0,NA,NA,-7.33,2014-02-21T14:00:00Z,1.44,2014-02-21T06:00:00Z,-17.26,2014-02-21T15:00:00Z,-4.64,2014-02-21T06:00:00Z,-9.71,0.68,8.75,248,14.85,0.18,999.11
2014-02-22T06:00:00Z,Clear throughout the day.,clear-day,2014-02-22T12:46:16Z,2014-02-22T23:38:50Z,0.76,0,0,NA,0,NA,NA,-9.66,2014-02-23T05:00:00Z,-2.83,2014-02-22T21:00:00Z,-16.86,2014-02-23T05:00:00Z,-9.14,2014-02-22T21:00:00Z,-13.29,0.59,4.6,259,16.09,0.02,1014.2
2014-02-23T06:00:00Z,Clear throughout the day.,clear-day,2014-02-23T12:44:43Z,2014-02-23T23:40:08Z,0.79,0,0,NA,0,NA,NA,-13.28,2014-02-23T13:00:00Z,-4.72,2014-02-23T21:00:00Z,-19.89,2014-02-23T11:00:00Z,-12.06,2014-02-23T21:00:00Z,-16.14,0.59,4.65,274,16.09,0.02,1022.12
2014-02-24T06:00:00Z,Clear throughout the day.,clear-day,2014-02-24T12:43:09Z,2014-02-24T23:41:25Z,0.83,0,0,NA,0,NA,NA,-13.84,2014-02-24T13:00:00Z,-5.99,2014-02-24T21:00:00Z,-20.32,2014-02-24T12:00:00Z,-13.3,2014-02-24T21:00:00Z,-16.52,0.59,4.01,282,16.09,0.04,1024.3
2014-02-25T06:00:00Z,Clear throughout the day.,clear-day,2014-02-25T12:41:33Z,2014-02-25T23:42:41Z,0.87,0,0,NA,0,NA,NA,-16.72,2014-02-26T05:00:00Z,-9.56,2014-02-25T20:00:00Z,-25.49,2014-02-26T05:00:00Z,-17.41,2014-02-25T20:00:00Z,-18.5,0.61,4.1,289,15.74,0.06,1023.9
2014-02-26T06:00:00Z,Light snow (under 1 cm.) overnight.,snow,2014-02-26T12:39:57Z,2014-02-26T23:43:57Z,0.91,0.0076,0.1549,2014-02-27T05:00:00Z,0.27,snow,0.295,-20.67,2014-02-26T13:00:00Z,-9.78,2014-02-27T04:00:00Z,-29.75,2014-02-26T13:00:00Z,-16.14,2014-02-27T04:00:00Z,-21.61,0.59,4.9,246,15.64,0.12,1016.01
2014-02-27T06:00:00Z,Clear throughout the day.,clear-day,2014-02-27T12:38:20Z,2014-02-27T23:45:13Z,0.94,0.0127,0.1549,2014-02-27T12:00:00Z,0.27,snow,0.592,-19.99,2014-02-28T05:00:00Z,-11.67,2014-02-27T06:00:00Z,-30,2014-02-27T13:00:00Z,-21.23,2014-02-27T06:00:00Z,-25.41,0.47,4.04,316,15.08,0.06,1018.41
2014-02-28T06:00:00Z,Snow (1–2 cm.) starting in the evening.,snow,2014-02-28T12:36:42Z,2014-02-28T23:46:29Z,0.98,0.0279,0.3099,2014-03-01T03:00:00Z,0.52,snow,1.041,-21.78,2014-02-28T08:00:00Z,-5.39,2014-03-01T00:00:00Z,-30.02,2014-02-28T10:00:00Z,-9.49,2014-03-01T00:00:00Z,-17.83,0.65,3.3,162,14.26,0.19,1019.42
2014-03-01T06:00:00Z,Foggy in the afternoon.,fog,2014-03-01T12:35:04Z,2014-03-01T23:47:44Z,0.02,0.0229,0.1803,2014-03-01T08:00:00Z,0.34,snow,1.024,-14.49,2014-03-02T05:00:00Z,-6.79,2014-03-01T06:00:00Z,-22.45,2014-03-02T05:00:00Z,-10.44,2014-03-01T06:00:00Z,-15.61,0.71,3.79,338,11.57,0.43,1025.25
2014-03-02T06:00:00Z,Clear throughout the day.,clear-day,2014-03-02T12:33:24Z,2014-03-02T23:48:59Z,0.06,0,0,NA,0,NA,NA,-18.92,2014-03-03T05:00:00Z,-13.94,2014-03-02T22:00:00Z,-27.64,2014-03-02T15:00:00Z,-21.47,2014-03-02T22:00:00Z,-25.86,0.45,3.96,329,16.09,0.11,1031.71
2014-03-03T06:00:00Z,Snow (1–4 cm.) overnight.,snow,2014-03-03T12:31:44Z,2014-03-03T23:50:13Z,0.09,0,0,NA,0,NA,NA,-21.72,2014-03-03T13:00:00Z,-9.34,2014-03-03T21:00:00Z,-28.29,2014-03-03T10:00:00Z,-15.48,2014-03-03T21:00:00Z,-23.29,0.49,1.14,271,16.03,0.04,1032.68
2014-03-04T06:00:00Z,Snow (1–2 cm.) in the afternoon and overnight.,snow,2014-03-04T12:30:03Z,2014-03-04T23:51:28Z,0.13,0.0711,0.5664,2014-03-04T09:00:00Z,0.6,snow,3.172,-12.62,2014-03-04T09:00:00Z,-6.11,2014-03-04T21:00:00Z,-19.07,2014-03-04T09:00:00Z,-6.11,2014-03-04T21:00:00Z,-13.86,0.7,0.79,155,12.34,NA,1025.05
2014-03-05T06:00:00Z,Snow (1–4 cm.) in the morning.,snow,2014-03-05T12:28:22Z,2014-03-05T23:52:42Z,0.16,0.0838,0.6223,2014-03-05T11:00:00Z,0.61,snow,3.78,-15.41,2014-03-06T05:00:00Z,-6.45,2014-03-05T20:00:00Z,-20.74,2014-03-06T05:00:00Z,-13.81,2014-03-05T20:00:00Z,-13.31,0.74,4.08,53,11.46,0.17,1031.03
2014-03-06T06:00:00Z,Clear throughout the day.,clear-day,2014-03-06T12:26:40Z,2014-03-06T23:53:55Z,0.19,0,0,NA,0,NA,NA,-18.52,2014-03-06T12:00:00Z,-3.17,2014-03-06T21:00:00Z,-25.51,2014-03-06T13:00:00Z,-7.92,2014-03-06T21:00:00Z,-13.93,0.74,2.07,151,15.9,0.03,1026.21
2014-03-07T06:00:00Z,Clear throughout the day.,clear-day,2014-03-07T12:24:57Z,2014-03-07T23:55:08Z,0.22,0.0051,0.0711,2014-03-08T03:00:00Z,0.08,rain,NA,-7.74,2014-03-07T06:00:00Z,5.45,2014-03-07T21:00:00Z,-13.29,2014-03-07T06:00:00Z,2.61,2014-03-07T21:00:00Z,-5.17,0.7,2.22,217,11.78,0.1,1013.96
